128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
12800 44 44 -0.7966535783917729 -0.7966535783917729 85.43 0.0102348 0.0187557  {'frags': 0, 'damage': 1} 
12928 44 44 -0.7966535783917729 -0.7966535783917729 84.1 -0.0013023 0.0168939  {'frags': 0, 'damage': 1} 
13056 45 45 -0.7694882210671513 -0.7694882210671513 85.81 -0.0019778 0.0168131  {'frags': 0, 'damage': 1} 
13184 46 46 -0.740539395710586 -0.740539395710586 86.11 0.0009034 0.0213534  {'frags': 0, 'damage': 1} 
13312 46 46 -0.740539395710586 -0.740539395710586 85.09 0.0014397 0.0179489  {'frags': 0, 'damage': 1} 
13440 46 46 -0.740539395710586 -0.740539395710586 85.19 -0.0015149 0.0175344  {'frags': 0, 'damage': 1} 
13568 46 46 -0.740539395710586 -0.740539395710586 84.74 -0.0011645 0.0165299  {'frags': 0, 'damage': 1} 
13696 46 46 -0.740539395710586 -0.740539395710586 85.52 -0.0007679 0.017863  {'frags': 0, 'damage': 1} 
13824 47 47 -0.7007354467708881 -0.7007354467708881 85.61 0.0028602 0.0186949  {'frags': 0, 'damage': 1} 
13952 48 48 -0.68711190256896 -0.68711190256896 84.57 0.007459 0.0182786  {'frags': 0, 'damage': 1} 
14080 49 49 -0.6688507021762011 -0.6688507021762011 86.4 0.0157032 0.0197201  {'frags': 0, 'damage': 1} 
14208 50 50 -0.6542156355171646 -0.6542156355171646 84.22 0.0050022 0.0178939  {'frags': 0, 'damage': 1} 
14336 50 50 -0.6542156355171646 -0.6542156355171646 84.22 0.0057689 0.0210825  {'frags': 0, 'damage': 1} 
14464 50 50 -0.6542156355171646 -0.6542156355171646 84.33 0.0021682 0.0195508  {'frags': 0, 'damage': 1} 
14592 50 50 -0.6542156355171646 -0.6542156355171646 84.47 0.0083959 0.0187893  {'frags': 0, 'damage': 2} 
14720 50 50 -0.6542156355171646 -0.6542156355171646 83.69 0.0040276 0.017399  {'frags': 0, 'damage': 3} 
14848 50 50 -0.6542156355171646 -0.6542156355171646 86.04 0.012812 0.018584  {'frags': 0, 'damage': 3} 
14976 51 51 -0.6043440633849869 -0.6043440633849869 84.12 0.0100516 0.0175821  {'frags': 0, 'damage': 1} 
15104 51 51 -0.6043440633849869 -0.6043440633849869 85.45 0.0110852 0.0179949  {'frags': 0, 'damage': 1} 
