15616 32 32 0.0 0.0 167.91 0.0001736 0.0416517 0.000228 0.2410735  {'room_id': 0, 'visited_rooms': 1} 
15744 32 32 0.0 0.0 168.72 9.93e-05 0.0304641 -0.0007346 0.0478545  {'room_id': 0, 'visited_rooms': 1} 
15872 33 33 0.0 0.0 167.99 8e-05 0.0234253 -8.06e-05 -0.011019  {'room_id': 0, 'visited_rooms': 1} 
16000 33 33 0.0 0.0 168.61 7.59e-05 0.0225608 0.0003996 -0.0336145  {'room_id': 0, 'visited_rooms': 1} 
16128 33 33 0.0 0.0 167.03 7.72e-05 0.0221172 -0.0006758 -0.0338883  {'room_id': 0, 'visited_rooms': 1} 
16256 34 34 0.0 0.0 169.09 7.65e-05 0.0226915 0.0009871 -0.0185244  {'room_id': 0, 'visited_rooms': 1} 
16384 34 34 0.0 0.0 168.53 7.91e-05 0.0227614 9.34e-05 -0.0196289  {'room_id': 0, 'visited_rooms': 1} 
16512 35 35 0.0 0.0 168.22 7.7e-05 0.0226302 -0.000541 -0.0128619  {'room_id': 0, 'visited_rooms': 1} 
16640 35 35 0.0 0.0 166.84 7.98e-05 0.0227247 -0.0004522 0.0073617  {'room_id': 0, 'visited_rooms': 1} 
16768 35 35 0.0 0.0 168.91 7.92e-05 0.0229446 -0.0009476 -0.0188879  {'room_id': 0, 'visited_rooms': 1} 
16896 35 35 0.0 0.0 168.28 7.67e-05 0.0225425 0.0001371 -0.0047014  {'room_id': 0, 'visited_rooms': 1} 
17024 35 35 0.0 0.0 167.88 7.76e-05 0.023533 0.0017475 0.0150683  {'room_id': 0, 'visited_rooms': 1} 
17152 35 35 0.0 0.0 167.1 8.76e-05 0.0249174 0.0041831 0.0423641  {'room_id': 0, 'visited_rooms': 1} 
17280 36 36 0.0 0.0 167.75 0.0001959 0.0334587 0.0002172 0.1172893  {'room_id': 0, 'visited_rooms': 1} 
17408 36 36 0.0 0.0 167.39 0.0001575 0.0336799 0.0001014 0.1443363  {'room_id': 0, 'visited_rooms': 1} 
17536 36 36 0.0 0.0 167.36 8.57e-05 0.0259804 0.0011971 0.0335175  {'room_id': 0, 'visited_rooms': 1} 
