9984 11 11 55.39 0.3539 137.77 0.0177393 0.0122039 0.0 0.0 -0.014431 0.0721388 1.1046143 0.746266 0.0286915 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
10112 11 11 55.39 0.3539 133.43 0.0154796 0.0111719 0.0 0.0 -0.0114324 0.0673554 1.1005895 0.7508031 0.0267663 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
10240 11 11 55.39 0.3539 134.6 0.0170193 0.0116818 0.0 0.0 -0.0129047 0.0551926 1.1013053 0.7506909 0.0265476 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
10368 11 11 55.39 0.3539 132.41 0.0141168 0.0091272 0.0 0.0 -0.0134915 0.0453909 1.0966289 0.7426543 0.0250563 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
10496 11 11 55.39 0.3539 132.93 0.0139506 0.0091849 0.0 0.0 -0.013919 0.0418536 1.0867556 0.7386501 0.0237588 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
10624 11 11 55.39 0.3539 131.04 0.0139754 0.0095935 0.0 0.0 -0.0146571 0.0406934 1.0820614 0.7389216 0.0242501 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
10752 11 11 55.39 0.3539 132.14 0.0152216 0.0100377 0.0 0.0 -0.0126602 0.0392059 1.0772362 0.747403 0.0243633 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
10880 11 11 55.39 0.3539 132.24 0.0134955 0.009503 0.0 0.0 -0.0128613 0.0476591 1.0716159 0.7355827 0.0229781 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
11008 11 11 55.39 0.3539 134.44 0.0133335 0.008612 0.0 0.0 -0.0153378 0.0344644 1.0702854 0.7376129 0.0224288 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
11136 12 12 89.851 0.51851 131.29 0.0158625 0.011796 0.0 0.0 -0.0156098 0.0334618 1.0681406 0.7488373 0.0241971 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 89.851} 
11264 12 12 89.851 0.51851 134.62 0.0179233 0.013475 0.0 0.0 -0.0151407 0.0334248 1.0623076 0.7443827 0.0252617 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 89.851} 
11392 12 12 89.851 0.51851 131.88 0.0142351 0.0103205 0.0 0.0 -0.0138456 0.0378072 1.0538046 0.7367642 0.0233936 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 89.851} 
11520 12 12 89.851 0.51851 133.49 0.0145956 0.0115357 0.0 0.0 -0.0151524 0.0292226 1.0494302 0.7411603 0.0231174 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 89.851} 
11648 12 12 89.851 0.51851 130.07 0.0141713 0.0105286 0.0 0.0 -0.0150885 0.0249656 1.0482893 0.7371663 0.0234301 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 89.851} 
