0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
5632 11.09375 0.0 0.0 10.67 0.0042536 0.0024666 0.0001312 0.0001121 -0.0033622 0.0020935 1.4367334 1.3581555 11.790879 0.0077016 0.844217 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00338} 
5760 11.125 0.0 0.0 9.45 0.0038874 0.0020614 0.0001205 0.000104 -0.0032631 0.0015453 1.4437264 1.3704928 14.9182629 0.0069107 0.7849489 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00344} 
5888 11.17188 0.0 0.0 10.34 0.003182 0.0018432 0.00011 9.74e-05 -0.0033012 0.001482 1.4559901 1.3915309 19.1631226 0.0059247 0.7369264 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00355} 
6016 11.22656 0.0 0.0 10.31 0.0028036 0.0016573 0.0001056 9.69e-05 -0.0027299 0.0012697 1.4568718 1.4091165 21.307315 0.004891 0.6894359 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00362} 
6144 11.28125 0.0 0.0 11.58 0.0022151 0.0015487 9.96e-05 8.99e-05 -0.0024812 0.0011217 1.4514327 1.4261524 24.8120754 0.0040316 0.6457259 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00358} 
6272 11.32031 0.0 0.0 10.91 0.0019884 0.0016463 0.0001016 9.29e-05 -0.0019146 0.0007686 1.4411491 1.4215167 24.3476543 0.0037346 0.6523301 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0036} 
6400 11.34375 0.0 0.0 11.13 0.0017569 0.0014863 0.0001013 8.86e-05 -0.0028449 0.0005613 1.4296737 1.426474 26.8258066 0.003105 0.6419016 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00358} 
6528 11.35156 0.0 0.0 9.77 0.0015748 0.0014018 9.32e-05 7.68e-05 -0.0034662 0.0004212 1.4123008 1.4381329 28.5760045 0.0029648 0.6078581 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00357} 
6656 11.39844 0.0 0.0 10.94 0.0014859 0.0014836 9.25e-05 7.4e-05 -0.0051449 0.0004371 1.4098685 1.4472283 31.1584072 0.0027275 0.6050082 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00354} 
6784 11.57031 0.0 0.0 9.84 0.0020007 0.0021965 0.0001183 0.0001087 -0.0027113 0.0005168 1.4020511 1.4257231 28.8114428 0.0033646 0.6305043 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00365} 
6912 11.71094 0.0 0.0 9.9 0.0021336 0.0019842 0.000152 0.0001403 -0.0027331 0.0005122 1.3970115 1.4166598 21.5085207 0.0037549 0.739637 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00369} 
7040 11.82812 0.0 0.0 13.16 0.002313 0.0019248 0.0001752 0.0001453 -0.0037233 0.0004435 1.3950005 1.4025439 16.3409834 0.0041718 0.813934 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00363} 
